epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.119,0.88901,3.47446,1.1661,0.01633,0.84271,0.19121,0.13589,0.79665,3.52567,1.00021,0.000232591,0.000232591,0.000232591
2,968.759,0.87736,2.43552,1.1654,0.49943,0.30618,0.29129,0.20347,0.93321,2.8652,1.11384,0.000465932,0.000465932,0.000465932
3,1463.87,0.92054,2.17246,1.19114,0.3805,0.42306,0.31858,0.22589,1.00619,2.48621,1.23224,0.000694561,0.000694561,0.000694561
4,1920.11,0.90924,2.06588,1.16779,0.35511,0.44496,0.35808,0.2562,1.02641,2.29049,1.24974,0.000692794,0.000692794,0.000692794
5,2318.18,0.91075,1.93102,1.17561,0.41602,0.49145,0.42138,0.3022,0.89185,1.97792,1.13316,0.000685726,0.000685726,0.000685726
6,2718.32,0.86319,1.85591,1.14406,0.42998,0.45528,0.40386,0.289,0.88513,2.06693,1.14308,0.000678657,0.000678657,0.000678657
7,3097.5,0.8558,1.77821,1.13683,0.47045,0.4592,0.46531,0.33714,0.84882,1.89525,1.08997,0.000671588,0.000671588,0.000671588
8,3477.89,0.82765,1.69701,1.122,0.41723,0.5013,0.41315,0.30419,0.89464,2.08804,1.12594,0.00066452,0.00066452,0.00066452
9,3852.64,0.84747,1.70466,1.12412,0.45386,0.47635,0.45473,0.32991,0.85747,1.90385,1.10553,0.000657451,0.000657451,0.000657451
10,4231.3,0.79821,1.59526,1.10195,0.46016,0.52882,0.47092,0.34627,0.82767,1.85129,1.09049,0.000650383,0.000650383,0.000650383
11,4610.52,0.78001,1.59188,1.10203,0.53564,0.50576,0.507,0.38006,0.80162,1.76863,1.08068,0.000643314,0.000643314,0.000643314
12,4986.55,0.75809,1.51906,1.07749,0.51526,0.48648,0.48751,0.37006,0.81922,1.85488,1.09432,0.000636245,0.000636245,0.000636245
13,5362.02,0.76157,1.5049,1.0834,0.50383,0.5172,0.50768,0.38164,0.84977,1.74707,1.09223,0.000629177,0.000629177,0.000629177
14,5736.73,0.76051,1.49087,1.07963,0.50845,0.53029,0.50595,0.38363,0.78591,1.67662,1.0547,0.000622108,0.000622108,0.000622108
15,6108.51,0.73181,1.42542,1.0585,0.48756,0.57456,0.51523,0.39981,0.77959,1.60802,1.04462,0.00061504,0.00061504,0.00061504
16,6476.36,0.72887,1.4023,1.06395,0.48378,0.57183,0.5401,0.41609,0.7733,1.65887,1.04378,0.000607971,0.000607971,0.000607971
17,6924.75,0.7251,1.37461,1.05768,0.5313,0.52178,0.51919,0.41065,0.73089,1.63415,1.03917,0.000600902,0.000600902,0.000600902
18,7416.87,0.72459,1.32175,1.06082,0.48491,0.57306,0.54156,0.42608,0.74172,1.55913,1.02986,0.000593834,0.000593834,0.000593834
19,7951.97,0.72884,1.33174,1.05144,0.53974,0.52664,0.52678,0.39758,0.81875,1.64434,1.08436,0.000586765,0.000586765,0.000586765
20,8375.08,0.69105,1.27318,1.04608,0.57171,0.53334,0.548,0.41958,0.73145,1.58984,1.02287,0.000579697,0.000579697,0.000579697
21,8756.79,0.69371,1.22068,1.04294,0.50769,0.53953,0.51233,0.39321,0.80975,1.63916,1.07339,0.000572628,0.000572628,0.000572628
22,9228.48,0.69074,1.19711,1.03309,0.47955,0.61293,0.54699,0.41911,0.73176,1.63043,1.02426,0.000565559,0.000565559,0.000565559
23,9602.36,0.67441,1.21838,1.0325,0.49259,0.59023,0.52479,0.40368,0.72144,1.61248,1.03412,0.000558491,0.000558491,0.000558491
24,9973.57,0.67792,1.18079,1.03695,0.57075,0.54915,0.55654,0.43398,0.7012,1.43676,1.01275,0.000551422,0.000551422,0.000551422
25,10344.8,0.67083,1.15084,1.04401,0.559,0.5274,0.53152,0.41775,0.72608,1.56963,1.02502,0.000544354,0.000544354,0.000544354
26,10716.8,0.65848,1.13666,1.01288,0.58329,0.54374,0.55322,0.41916,0.75717,1.5652,1.0386,0.000537285,0.000537285,0.000537285
